gene	location	gene_id	filename
SH2D1A	Xq25	4068	SH2D1A.htm
LRP1	12q13.3	4035	LRP1.htm
SEPP1	5q31	6414	SEPP1.htm
VIPR1	3p22	7433	VIPR1.htm
PROC	2q13-q14	5624	PROC.htm
MITF	3p14.2-p14.1	4286	MITF.htm
TFRC	3q29	7037	TFRC.htm
TMEFF2	2q32.3	23671	TMEFF2.htm
TXNRD1	12q23-q24.1	7296	TXNRD1.htm
EGFR	7p12	1956	EGFR.htm
PAEP	9q34	5047	PAEP.htm
DNMT1	19p13.2	1786	DNMT1.htm
CD69	12p13	969	CD69.htm
TP53	17p13.1	7157	TP53.htm
KRAS	12p12.1	3845	KRAS.htm
ASAH1	8p22	427	ASAH1.htm
BCL2	18q21.3	596	BCL2.htm
NFKB1	4q24	4790	NFKB1.htm
NRAS	1p13.2	4893	NRAS.htm
SCLC1	3p23-p21	7864	SCLC1.htm
BRCA1	17q21	672	BRCA1.htm
ERBB2	17q12	2064	ERBB2.htm
TNF	6p21.3	7124	TNF.htm
IL2	4q26-q27	3558	IL2.htm
ESR1	6q25.1	2099	ESR1.htm
BCR	22q11.23	613	BCR.htm
PPP1R3A	7q31.1	5506	PPP1R3.htm
EREG	4q13.3	2069	EREG.htm
AR	Xq12	367	AR.htm
MAPK1	22q11.21	5594	MAPK1.htm
CD40	20q12-q13.2	958	TNFRSF5.htm
CTLA4	2q33	1493	CTLA4.htm
CDKN2A	9p21	1029	CDKN2A.htm
HLA-DQA1	6p21.3	3117	HLA-DQA1.htm
NOD2	16q21	64127	NOD2.htm
CTNNB1	3p21	1499	CTNNB1.htm
KITLG	12q22	4254	MGF.htm
AMACR	5p13	23600	AMACR.htm
BRCA2	13q12.3	675	BRCA2.htm
IL6	7p21	3569	IL6.htm
AREG	4q13.3	374	AREG.htm
BLID	11q24.1	414899	BLID.htm
EPB41	1p33-p32	2035	EPB41.htm
FOS	14q24.3	2353	FOS.htm
MLH1	3p21.3	4292	MLH1.htm
ABCB1	7q21.12	5243	ABCB1.htm
TNFRSF10B	8p22-p21	8795	TNFRSF10B.htm
CASP3	4q34	836	CASP3.htm
PTEN	10q23.3	5728	PTEN.htm
PIK3CA	3q26.3	5290	PIK3CA.htm
AKT3	1q44	10000	AKT3.htm
BAX	19q13.3-q13.4	581	BAX.htm
CISH	3p21.3	1154	CISH.htm
GNL3	3p21.1	26354	GNL3.htm
CDKN1A	6p21.2	1026	CDKN1A.htm
MSH2	2p21	4436	MSH2.htm
KIT	4q12	3815	KIT.htm
HLA-E	6p21.3	3133	HLA-E.htm
ABL1	9q34.1	25	ABL1.htm
CALCA	11p15.2	796	CALCA.htm
PIK3CD	1p36.2	5293	PIK3CD.htm
PIK3CB	3q22.3	5291	PIK3CB.htm
NEURL1	10q25.1	9148	NEURL.htm
APRT	16q24	353	APRT.htm
SRC	20q12-q13	6714	SRC.htm
NR4A3	9q22	8013	NR4A3.htm
MCL1	1q21	4170	MCL1.htm
MS4A1	11q12	931	MS4A1.htm
SERPINA1	14q32.1	5265	SERPINA1.htm
SETD2	3p21.31	29072	SETD2.htm
MET	7q31	4233	MET.htm
MMP9	20q11.2-q13.1	4318	MMP9.htm
MKI67	10q26.2	4288	MKI67.htm
XRCC1	19q13.2	7515	XRCC1.htm
SNRPN	15q11.2	6638	SNRPN.htm
INSR	19p13.3-p13.2	3643	INSR.htm
CAMP	3p21.3	820	CAMP.htm
FASN	17q25	2194	FASN.htm
MDM2	12q14.3-q15	4193	MDM2.htm
BRAF	7q34	673	BRAF.htm
CD55	1q32	1604	CD55.htm
CD34	1q32	947	CD34.htm
IGH	14q32.33	3492	IGH.htm
MMP2	16q13-q21	4313	MMP2.htm
MAPK3	16p11.2	5595	MAPK3.htm
GLI3	7p13	2737	GLI3.htm
CNTRL	9q33.2	11064	CEP1.htm
IL1B	2q14	3553	IL1B.htm
FOSB	19q13.32	2354	FOSB.htm
CD48	1q21.3-q22	962	CD48.htm
STAT3	17q21.31	6774	STAT3.htm
APC	5q21-q22	324	APC.htm
KDR	4q11-q12	3791	KDR.htm
LAMC2	1q25-q31	3918	LAMC2.htm
BCL2L1	20q11.21	598	BCL2L1.htm
CDKN1B	12p13.1-p12	1027	CDKN1B.htm
HIF1A	14q23.2	3091	HIF1A.htm
IL10	1q31-q32	3586	IL10.htm
CRK	17p13.3	1398	CRK.htm
MTOR	1p36.2	2475	MTOR.htm
PMEL	12q13-q14	6490	PMEL.htm
CA9	9p13.3	768	CA9.htm
SNRPE	1q32	6635	SNRPE.htm
KMT2A	11q23	4297	MLL.htm
PCNA	20pter-p12	5111	PCNA.htm
MYC	8q24.21	4609	MYC.htm
CSF1	1p13.3	1435	CSF1.htm
TUBE1	6q21	51175	TUBE1.htm
CCND1	11q13	595	BCL1.htm
MAPK14	6p21.3-p21.2	1432	MAPK14.htm
NODAL	10q22.1	4838	NODAL.htm
NR3C2	4q31.1	4306	NR3C2.htm
MAPK8	10q11.22	5599	MAPK8.htm
RET	10q11.2	5979	RET.htm
AICDA	12p13	57379	AICDA.htm
CSF1R	5q32	1436	CSF1R.htm
KLK4	19q13.41	9622	KLK4.htm
IGF1	12q23.2	3479	IGF1.htm
ITK	5q31-q32	3702	ITK.htm
RUNX1	21q22.3	861	CBFA2.htm
JUN	1p32-p31	3725	JUN.htm
