"Gene_name" "chromosome" "start" "end" "biotype" "band"
"OR4F5" "1" 69091 70008 "protein_coding" "1:p36.33"
"AL627309.1" "1" 134901 139379 "protein_coding" "1:p36.33"
"OR4F29" "1" 367640 368634 "protein_coding" "1:p36.33"
"OR4F16" "1" 621059 622053 "protein_coding" "1:p36.33"
"AL669831.1" "1" 738532 739137 "protein_coding" "1:p36.33"
"AL645608.2" "1" 818043 819983 "protein_coding" "1:p36.33"
"SAMD11" "1" 860260 879955 "protein_coding" "1:p36.33"
"AL645608.1" "1" 861264 866445 "protein_coding" "1:p36.33"
"NOC2L" "1" 879584 894689 "protein_coding" "1:p36.33"
"KLHL17" "1" 895967 901095 "protein_coding" "1:p36.33"
"PLEKHN1" "1" 901877 911245 "protein_coding" "1:p36.33"
"C1orf170" "1" 910579 917497 "protein_coding" "1:p36.33"
"HES4" "1" 934342 935552 "protein_coding" "1:p36.33"
"ISG15" "1" 948803 949920 "protein_coding" "1:p36.33"
"AGRN" "1" 955503 991496 "protein_coding" "1:p36.33"
"RNF223" "1" 1006346 1009687 "protein_coding" "1:p36.33"
"C1orf159" "1" 1017198 1051741 "protein_coding" "1:p36.33"
"TTLL10" "1" 1109264 1133315 "protein_coding" "1:p36.33"
"TNFRSF18" "1" 1138888 1142071 "protein_coding" "1:p36.33"
"TNFRSF4" "1" 1146706 1149518 "protein_coding" "1:p36.33"
"SDF4" "1" 1152288 1167411 "protein_coding" "1:p36.33"
"B3GALT6" "1" 1167629 1170421 "protein_coding" "1:p36.33"
"FAM132A" "1" 1177826 1182102 "protein_coding" "1:p36.33"
"UBE2J2" "1" 1189289 1209265 "protein_coding" "1:p36.33"
"SCNN1D" "1" 1215816 1227409 "protein_coding" "1:p36.33"
"ACAP3" "1" 1227756 1244989 "protein_coding" "1:p36.33"
"PUSL1" "1" 1243947 1247057 "protein_coding" "1:p36.33"
"CPSF3L" "1" 1246965 1260071 "protein_coding" "1:p36.33"
"GLTPD1" "1" 1260136 1264277 "protein_coding" "1:p36.33"
"TAS1R3" "1" 1266694 1270686 "protein_coding" "1:p36.33"
"DVL1" "1" 1270656 1284730 "protein_coding" "1:p36.33"
"MXRA8" "1" 1288069 1297157 "protein_coding" "1:p36.33"
"AURKAIP1" "1" 1309110 1310875 "protein_coding" "1:p36.33"
"CCNL2" "1" 1321091 1334708 "protein_coding" "1:p36.33"
"RP4-758J18.2" "1" 1334902 1337426 "protein_coding" "1:p36.33"
"MRPL20" "1" 1337288 1342693 "protein_coding" "1:p36.33"
"ANKRD65" "1" 1353800 1357149 "protein_coding" "1:p36.33"
"TMEM88B" "1" 1361508 1363167 "protein_coding" "1:p36.33"
"VWA1" "1" 1370241 1378262 "protein_coding" "1:p36.33"
"ATAD3C" "1" 1385069 1405538 "protein_coding" "1:p36.33"
"ATAD3B" "1" 1407143 1433228 "protein_coding" "1:p36.33"
"ATAD3A" "1" 1447531 1470067 "protein_coding" "1:p36.33"
"TMEM240" "1" 1470554 1475833 "protein_coding" "1:p36.33"
"SSU72" "1" 1477053 1510249 "protein_coding" "1:p36.33"
"AL645728.1" "1" 1510355 1511373 "protein_coding" "1:p36.33"
"C1orf233" "1" 1533392 1535476 "protein_coding" "1:p36.33"
"MIB2" "1" 1550795 1565990 "protein_coding" "1:p36.33"
"MMP23B" "1" 1567474 1570639 "protein_coding" "1:p36.33"
"CDK11B" "1" 1570603 1590473 "protein_coding" "1:p36.33"
"SLC35E2B" "1" 1592939 1624167 "protein_coding" "1:p36.33"
"CDK11A" "1" 1634169 1655766 "protein_coding" "1:p36.33"
"SLC35E2" "1" 1656277 1677431 "protein_coding" "1:p36.33"
"NADK" "1" 1682671 1711896 "protein_coding" "1:p36.33"
"GNB1" "1" 1716729 1822495 "protein_coding" "1:p36.33"
"CALML6" "1" 1846266 1848735 "protein_coding" "1:p36.33"
"TMEM52" "1" 1849029 1850712 "protein_coding" "1:p36.33"
"C1orf222" "1" 1853396 1935276 "protein_coding" "1:p36.33"
"GABRD" "1" 1950780 1962192 "protein_coding" "1:p36.33"
"PRKCZ" "1" 1981909 2116834 "protein_coding" "1:p36.33"
"C1orf86" "1" 2115903 2144159 "protein_coding" "1:p36.33"
"AL590822.2" "1" 2121237 2123179 "protein_coding" "1:p36.33"
"AL590822.1" "1" 2143360 2145620 "protein_coding" "1:p36.33"
"SKI" "1" 2160134 2241558 "protein_coding" "1:p36.33"
"MORN1" "1" 2252692 2323146 "protein_coding" "1:p36.33"
"AL589739.1" "1" 2258581 2259042 "protein_coding" "1:p36.33"
"RER1" "1" 2323267 2336883 "protein_coding" "1:p36.32"
"PEX10" "1" 2336236 2345236 "protein_coding" "1:p36.32"
"PLCH2" "1" 2357419 2436969 "protein_coding" "1:p36.32"
"PANK4" "1" 2439972 2458039 "protein_coding" "1:p36.32"
"HES5" "1" 2460184 2461684 "protein_coding" "1:p36.32"
"TNFRSF14" "1" 2487078 2496821 "protein_coding" "1:p36.32"
"FAM213B" "1" 2517930 2522908 "protein_coding" "1:p36.32"
"MMEL1" "1" 2522078 2564481 "protein_coding" "1:p36.32"
"TTC34" "1" 2567415 2718286 "protein_coding" "1:p36.32"
"ACTRT2" "1" 2938046 2939465 "protein_coding" "1:p36.32"
"PRDM16" "1" 2985732 3355185 "protein_coding" "1:p36.32"
"ARHGEF16" "1" 3370990 3397677 "protein_coding" "1:p36.32"
"MEGF6" "1" 3406484 3528059 "protein_coding" "1:p36.32"
"TPRG1L" "1" 3541566 3546691 "protein_coding" "1:p36.32"
"WRAP73" "1" 3547331 3569325 "protein_coding" "1:p36.32"
"TP73" "1" 3569084 3652765 "protein_coding" "1:p36.32"
"CCDC27" "1" 3668962 3688209 "protein_coding" "1:p36.32"
"SMIM1" "1" 3689352 3692546 "protein_coding" "1:p36.32"
"LRRC47" "1" 3696784 3713068 "protein_coding" "1:p36.32"
"CEP104" "1" 3728645 3773778 "protein_coding" "1:p36.32"
"DFFB" "1" 3773845 3801993 "protein_coding" "1:p36.32"
"C1orf174" "1" 3805689 3816857 "protein_coding" "1:p36.32"
"AJAP1" "1" 4714792 4852594 "protein_coding" "1:p36.32"
"NPHP4" "1" 5922871 6052533 "protein_coding" "1:p36.31"
"KCNAB2" "1" 6051526 6161253 "protein_coding" "1:p36.31"
"AL035406.1" "1" 6100630 6101399 "protein_coding" "1:p36.31"
"CHD5" "1" 6161853 6240183 "protein_coding" "1:p36.31"
"RPL22" "1" 6241329 6269449 "protein_coding" "1:p36.31"
"RNF207" "1" 6265535 6281359 "protein_coding" "1:p36.31"
"ICMT" "1" 6281253 6296032 "protein_coding" "1:p36.31"
"HES3" "1" 6304252 6305638 "protein_coding" "1:p36.31"
"GPR153" "1" 6307406 6321035 "protein_coding" "1:p36.31"
"ACOT7" "1" 6324329 6454451 "protein_coding" "1:p36.31"
"HES2" "1" 6472478 6484730 "protein_coding" "1:p36.31"
"ESPN" "1" 6484848 6521430 "protein_coding" "1:p36.31"
"TNFRSF25" "1" 6521211 6526255 "protein_coding" "1:p36.31"
"PLEKHG5" "1" 6526152 6580121 "protein_coding" "1:p36.31"
"NOL9" "1" 6581407 6614595 "protein_coding" "1:p36.31"
"TAS1R1" "1" 6615241 6639817 "protein_coding" "1:p36.31"
"ZBTB48" "1" 6640061 6649340 "protein_coding" "1:p36.31"
"KLHL21" "1" 6650784 6674667 "protein_coding" "1:p36.31"
"PHF13" "1" 6673745 6684093 "protein_coding" "1:p36.31"
"THAP3" "1" 6684926 6695646 "protein_coding" "1:p36.31"
"DNAJC11" "1" 6694228 6761984 "protein_coding" "1:p36.31"
"CAMTA1" "1" 6845384 7829766 "protein_coding" "1:p36.31"
"VAMP3" "1" 7831329 7841492 "protein_coding" "1:p36.23"
"PER3" "1" 7844380 7905237 "protein_coding" "1:p36.23"
"UTS2" "1" 7903143 7913572 "protein_coding" "1:p36.23"
"TNFRSF9" "1" 7979907 8000926 "protein_coding" "1:p36.23"
"PARK7" "1" 8014351 8045565 "protein_coding" "1:p36.23"
"ERRFI1" "1" 8064464 8086368 "protein_coding" "1:p36.23"
"SLC45A1" "1" 8377886 8404227 "protein_coding" "1:p36.23"
"RERE" "1" 8412457 8877702 "protein_coding" "1:p36.23"
"ENO1" "1" 8921061 8939308 "protein_coding" "1:p36.23"
"CA6" "1" 9005926 9035151 "protein_coding" "1:p36.23"
"SLC2A7" "1" 9063359 9086404 "protein_coding" "1:p36.23"
"SLC2A5" "1" 9095166 9148537 "protein_coding" "1:p36.23"
"GPR157" "1" 9160364 9189229 "protein_coding" "1:p36.23"
"H6PD" "1" 9294834 9331396 "protein_coding" "1:p36.22"
"SPSB1" "1" 9352939 9429591 "protein_coding" "1:p36.22"
"SLC25A33" "1" 9599541 9645237 "protein_coding" "1:p36.22"
"TMEM201" "1" 9648932 9674935 "protein_coding" "1:p36.22"
"PIK3CD" "1" 9711790 9789172 "protein_coding" "1:p36.22"
"C1orf200" "1" 9712668 9714644 "protein_coding" "1:p36.22"
"CLSTN1" "1" 9789084 9884584 "protein_coding" "1:p36.22"
"CTNNBIP1" "1" 9908334 9970394 "protein_coding" "1:p36.22"
"LZIC" "1" 9982173 10003465 "protein_coding" "1:p36.22"
"NMNAT1" "1" 10003486 10045559 "protein_coding" "1:p36.22"
"RBP7" "1" 10057264 10076078 "protein_coding" "1:p36.22"
"UBE4B" "1" 10092890 10241297 "protein_coding" "1:p36.22"
"KIF1B" "1" 10270863 10441661 "protein_coding" "1:p36.22"
"PGD" "1" 10458649 10480201 "protein_coding" "1:p36.22"
"APITD1" "1" 10490159 10512210 "protein_coding" "1:p36.22"
"APITD1-CORT" "1" 10490159 10512210 "protein_coding" "1:p36.22"
"CORT" "1" 10509776 10511959 "protein_coding" "1:p36.22"
"DFFA" "1" 10516579 10532583 "protein_coding" "1:p36.22"
"PEX14" "1" 10532345 10690815 "protein_coding" "1:p36.22"
"CASZ1" "1" 10696661 10856707 "protein_coding" "1:p36.22"
"C1orf127" "1" 11006528 11042094 "protein_coding" "1:p36.22"
