"Gene_ID","Gene_Symbol","Gene_Info","biotype","chromosome","band","start","end"
"ENSG00000121410","A1BG","alpha-1-B glycoprotein","protein_coding","19","19:q13.43",58856544,58864865
"ENSG00000148584","A1CF","APOBEC1 complementation factor","protein_coding","10","10:q11.23",52559169,52645435
"ENSG00000175899","A2M","alpha-2-macroglobulin","protein_coding","12","12:p13.31",9220260,9268825
"ENSG00000166535","A2ML1","alpha-2-macroglobulin-like 1","protein_coding","12","12:p13.31",8975068,9039597
"ENSG00000184389","A3GALT2","alpha 1,3-galactosyltransferase 2","protein_coding","1","1:p35.1",33772367,33786699
"ENSG00000128274","A4GALT","alpha 1,4-galactosyltransferase","protein_coding","22","22:q13.2",43088127,43117304
"ENSG00000118017","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase","protein_coding","3","3:q22.3",137842560,137851229
"ENSG00000094914","AAAS","achalasia, adrenocortical insufficiency, alacrimia","protein_coding","12","12:q13.13",53701240,53718648
"ENSG00000081760","AACS","acetoacetyl-CoA synthetase","protein_coding","12","12:q24.31",125549925,125627873
"ENSG00000114771","AADAC","arylacetamide deacetylase","protein_coding","3","3:q25.1",151531825,151546276
"ENSG00000197953","AADACL2","arylacetamide deacetylase-like 2","protein_coding","3","3:q25.1",151451704,151479127
"ENSG00000188984","AADACL3","arylacetamide deacetylase-like 3","protein_coding","1","1:p36.21",12776118,12788726
"ENSG00000204518","AADACL4","arylacetamide deacetylase-like 4","protein_coding","1","1:p36.21",12704566,12727097
"ENSG00000109576","AADAT","aminoadipate aminotransferase","protein_coding","4","4:q33",170981373,171012850
"ENSG00000158122","AAED1","AhpC/TSA antioxidant enzyme domain containing 1","protein_coding","9","9:q22.33",99401859,99417585
"ENSG00000103591","AAGAB","alpha- and gamma-adaptin binding protein","protein_coding","15","15:q22.33",67493371,67547533
"ENSG00000115977","AAK1","AP2 associated kinase 1","protein_coding","2","2:p13.3",69688532,69901481
"ENSG00000087884","AAMDC","adipogenesis associated, Mth938 domain containing","protein_coding","11","11:q14.1",77532155,77629478
"ENSG00000127837","AAMP","angio-associated, migratory cell protein","protein_coding","2","2:q35",219128850,219134980
"ENSG00000129673","AANAT","aralkylamine N-acetyltransferase","protein_coding","17","17:q25.1",74449433,74466199
"ENSG00000131043","AAR2","AAR2 splicing factor homolog (S. cerevisiae)","protein_coding","20","20:q11.23",34824381,34858840
"ENSG00000205002","AARD","alanine and arginine rich domain containing protein","protein_coding","8","8:q24.11",117950438,117956726
"ENSG00000090861","AARS","alanyl-tRNA synthetase","protein_coding","16","16:q22.1",70286198,70323446
"ENSG00000124608","AARS2","alanyl-tRNA synthetase 2, mitochondrial","protein_coding","6","6:p21.1",44267391,44281063
"ENSG00000266967","AARSD1","alanyl-tRNA synthetase domain containing 1","protein_coding","17","17:q21.31",41102543,41116515
"ENSG00000157426","AASDH","aminoadipate-semialdehyde dehydrogenase","protein_coding","4","4:q12",57204456,57253666
"ENSG00000149313","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","protein_coding","11","11:q22.3",105946228,105969437
"ENSG00000008311","AASS","aminoadipate-semialdehyde synthase","protein_coding","7","7:q31.32",121715701,121784334
"ENSG00000181409","AATK","apoptosis-associated tyrosine kinase","protein_coding","17","17:q25.3",79091095,79139877
"ENSG00000183044","ABAT","4-aminobutyrate aminotransferase","protein_coding","16","16:p13.2",8768422,8878432
"ENSG00000165029","ABCA1","ATP-binding cassette, sub-family A (ABC1), member 1","protein_coding","9","9:q31.1",107543283,107690518
"ENSG00000154263","ABCA10","ATP-binding cassette, sub-family A (ABC1), member 10","protein_coding","17","17:q24.3",67143355,67240987
"ENSG00000144452","ABCA12","ATP-binding cassette, sub-family A (ABC1), member 12","protein_coding","2","2:q35",215796266,216003151
"ENSG00000179869","ABCA13","ATP-binding cassette, sub-family A (ABC1), member 13","protein_coding","7","7:p12.3",48211055,48687092
"ENSG00000107331","ABCA2","ATP-binding cassette, sub-family A (ABC1), member 2","protein_coding","9","9:q34.3",139901686,139923367
"ENSG00000167972","ABCA3","ATP-binding cassette, sub-family A (ABC1), member 3","protein_coding","16","16:p13.3",2325882,2390747
"ENSG00000198691","ABCA4","ATP-binding cassette, sub-family A (ABC1), member 4","protein_coding","1","1:p22.1",94458393,94586688
"ENSG00000154265","ABCA5","ATP-binding cassette, sub-family A (ABC1), member 5","protein_coding","17","17:q24.3",67240452,67323385
"ENSG00000154262","ABCA6","ATP-binding cassette, sub-family A (ABC1), member 6","protein_coding","17","17:q24.2",67074843,67138029
"ENSG00000064687","ABCA7","ATP-binding cassette, sub-family A (ABC1), member 7","protein_coding","19","19:p13.3",1040102,1065571
"ENSG00000141338","ABCA8","ATP-binding cassette, sub-family A (ABC1), member 8","protein_coding","17","17:q24.2",66863433,66951533
"ENSG00000154258","ABCA9","ATP-binding cassette, sub-family A (ABC1), member 9","protein_coding","17","17:q24.2",66970629,67057205
"ENSG00000085563","ABCB1","ATP-binding cassette, sub-family B (MDR/TAP), member 1","protein_coding","7","7:q21.12",87133175,87342611
"ENSG00000135776","ABCB10","ATP-binding cassette, sub-family B (MDR/TAP), member 10","protein_coding","1","1:q42.13",229652329,229694442
"ENSG00000073734","ABCB11","ATP-binding cassette, sub-family B (MDR/TAP), member 11","protein_coding","2","2:q31.1",169779448,169887832
"ENSG00000005471","ABCB4","ATP-binding cassette, sub-family B (MDR/TAP), member 4","protein_coding","7","7:q21.12",87031013,87109751
"ENSG00000004846","ABCB5","ATP-binding cassette, sub-family B (MDR/TAP), member 5","protein_coding","7","7:p21.1",20654830,20816658
"ENSG00000115657","ABCB6","ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)","protein_coding","2","2:q35",220074490,220083712
"ENSG00000131269","ABCB7","ATP-binding cassette, sub-family B (MDR/TAP), member 7","protein_coding","X","X:q13.3",74273115,74376567
"ENSG00000197150","ABCB8","ATP-binding cassette, sub-family B (MDR/TAP), member 8","protein_coding","7","7:q36.1",150725510,150744869
"ENSG00000150967","ABCB9","ATP-binding cassette, sub-family B (MDR/TAP), member 9","protein_coding","12","12:q24.31",123405498,123466196
"ENSG00000103222","ABCC1","ATP-binding cassette, sub-family C (CFTR/MRP), member 1","protein_coding","16","16:p13.11",16043434,16236931
"ENSG00000124574","ABCC10","ATP-binding cassette, sub-family C (CFTR/MRP), member 10","protein_coding","6","6:p21.1",43395104,43418168
"ENSG00000121270","ABCC11","ATP-binding cassette, sub-family C (CFTR/MRP), member 11","protein_coding","16","16:q12.1",48200821,48281479
"ENSG00000140798","ABCC12","ATP-binding cassette, sub-family C (CFTR/MRP), member 12","protein_coding","16","16:q12.1",48116884,48189929
"ENSG00000023839","ABCC2","ATP-binding cassette, sub-family C (CFTR/MRP), member 2","protein_coding","10","10:q24.2",101542489,101611949
"ENSG00000108846","ABCC3","ATP-binding cassette, sub-family C (CFTR/MRP), member 3","protein_coding","17","17:q21.33",48712138,48769613
"ENSG00000125257","ABCC4","ATP-binding cassette, sub-family C (CFTR/MRP), member 4","protein_coding","13","13:q32.1",95672083,95953687
"ENSG00000114770","ABCC5","ATP-binding cassette, sub-family C (CFTR/MRP), member 5","protein_coding","3","3:q27.1",183637722,183735803
"ENSG00000091262","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","protein_coding","16","16:p13.11",16242785,16317379
